ap|accounting_entries|entry_date|date|NOT NULL|||
ap|accounting_entries|period_name|character varying(20)||||
ap|accounting_entries|posted|boolean||false||
ap|accounting_entries|posted_at|timestamp with time zone||||
ap|accounting_entries|is_active|boolean||true||
ap|accounting_entries|created_at|timestamp with time zone||now()||
ap|accounting_entries|updated_at|timestamp with time zone||||
ap|accounting_entries|update_by|uuid||||
ap|accounting_entries|object_version_number|integer||1||
ap|accounting_entries|corporate_id|uuid||||corporates.corporate_id
ap|accounting_entries|company_id|uuid||||companies.company_id
ap|accounting_entries|site_id|uuid||||sites.site_id
ap|aging_snapshots|snapshot_id|uuid|NOT NULL|uuidv7()|PK|
ap|aging_snapshots|partner_id|uuid||||
ap|aging_snapshots|snapshot_date|date|NOT NULL|||
ap|aging_snapshots|current_amount|numeric(19,4)||0||
ap|aging_snapshots|aged_1_30|numeric(19,4)||0||
ap|aging_snapshots|aged_31_60|numeric(19,4)||0||
ap|aging_snapshots|aged_61_90|numeric(19,4)||0||
ap|aging_snapshots|aged_90_plus|numeric(19,4)||0||
ap|aging_snapshots|total_due|numeric(19,4)||0||
ap|aging_snapshots|currency_code|character varying(3)||'THB'::character varying||
ap|aging_snapshots|is_active|boolean||true||
ap|aging_snapshots|created_at|timestamp with time zone||now()||
ap|aging_snapshots|updated_at|timestamp with time zone||||
ap|aging_snapshots|update_by|uuid||||
ap|aging_snapshots|object_version_number|integer||1||
ap|aging_snapshots|corporate_id|uuid||||corporates.corporate_id
ap|aging_snapshots|company_id|uuid||||companies.company_id
ap|aging_snapshots|site_id|uuid||||sites.site_id
ap|ai_agent_logs|log_id|uuid|NOT NULL|uuidv7()|PK|
ap|ai_agent_logs|state_id|uuid||||
ap|ai_agent_logs|doc_id|uuid||||
ap|ai_agent_logs|agent_name|character varying(100)|NOT NULL|||
ap|ai_agent_logs|action|character varying(100)||||
ap|ai_agent_logs|input_data|jsonb||||
ap|ai_agent_logs|output_data|jsonb||||
ap|ai_agent_logs|duration_ms|integer||||
ap|ai_agent_logs|status|character varying(30)||'SUCCESS'::character varying||
ap|ai_agent_logs|error_message|text||||
ap|ai_agent_logs|is_active|boolean||true||
ap|ai_agent_logs|created_at|timestamp with time zone||now()||
ap|ai_agent_logs|updated_at|timestamp with time zone||||
ap|ai_agent_logs|update_by|uuid||||
ap|ai_agent_logs|object_version_number|integer||1||
ap|ai_decisions|decision_id|uuid|NOT NULL|uuidv7()|PK|
ap|ai_decisions|doc_id|uuid||||
ap|ai_decisions|log_id|uuid||||
ap|ai_decisions|decision_type|character varying(50)|NOT NULL|||
ap|ai_decisions|decision_data|jsonb||||
ap|ai_decisions|reasoning|text||||
ap|ai_decisions|confidence_score|numeric(5,2)||||
ap|ai_decisions|accepted|boolean||||
ap|ai_decisions|accepted_by|uuid||||
ap|ai_decisions|accepted_at|timestamp with time zone||||
ap|ai_decisions|is_active|boolean||true||
ap|ai_decisions|created_at|timestamp with time zone||now()||
ap|ai_decisions|updated_at|timestamp with time zone||||
ap|ai_decisions|update_by|uuid||||
ap|ai_decisions|object_version_number|integer||1||
ap|ai_workflow_state|state_id|uuid|NOT NULL|uuidv7()|PK|
ap|ai_workflow_state|doc_type|character varying(30)|NOT NULL|||
ap|ai_workflow_state|doc_id|uuid|NOT NULL|||
ap|ai_workflow_state|workflow_def_id|uuid||||
ap|ai_workflow_state|thread_id|character varying(100)||||
