admin|12|0
ap|36|10
ar|34|3
collab|8|0
core|27|5
eam|92|18
exp|4|2
fa|77|13
gl|23|3
inv|35|9
log|116|16
mdm|94|14
mes|123|5
om|18|5
po|33|8
prod|21|2
public|23|0
qc|83|10
reporting|0|4
scm|168|11
sup|4|2
tax|90|8
wms|8|4
