admin|scheduled_tasks|scheduled_tasks_task_code_key|CREATE UNIQUE INDEX scheduled_tasks_task_code_key ON admin.scheduled_tasks USING btree (task_code)|t
admin|user_data_assignments|user_data_assignments_user_id_dimension_id_dimension_value__key|CREATE UNIQUE INDEX user_data_assignments_user_id_dimension_id_dimension_value__key ON admin.user_data_assignments USING btree (user_id, dimension_id, dimension_value_id)|t
admin|user_data_dimensions|user_data_dimensions_dimension_code_key|CREATE UNIQUE INDEX user_data_dimensions_dimension_code_key ON admin.user_data_dimensions USING btree (dimension_code)|t
admin|user_data_security_policies|user_data_security_policies_policy_code_key|CREATE UNIQUE INDEX user_data_security_policies_policy_code_key ON admin.user_data_security_policies USING btree (policy_code)|t
admin|user_duty_role_privileges|user_duty_role_privileges_duty_role_id_privilege_id_key|CREATE UNIQUE INDEX user_duty_role_privileges_duty_role_id_privilege_id_key ON admin.user_duty_role_privileges USING btree (duty_role_id, privilege_id)|t
admin|user_duty_roles|user_duty_roles_duty_role_code_key|CREATE UNIQUE INDEX user_duty_roles_duty_role_code_key ON admin.user_duty_roles USING btree (duty_role_code)|t
admin|user_job_role_assignments|user_job_role_assignments_user_id_job_role_id_key|CREATE UNIQUE INDEX user_job_role_assignments_user_id_job_role_id_key ON admin.user_job_role_assignments USING btree (user_id, job_role_id)|t
admin|user_job_role_duties|user_job_role_duties_job_role_id_duty_role_id_key|CREATE UNIQUE INDEX user_job_role_duties_job_role_id_duty_role_id_key ON admin.user_job_role_duties USING btree (job_role_id, duty_role_id)|t
admin|user_job_roles|user_job_roles_job_role_code_key|CREATE UNIQUE INDEX user_job_roles_job_role_code_key ON admin.user_job_roles USING btree (job_role_code)|t
admin|user_privileges|user_privileges_privilege_code_key|CREATE UNIQUE INDEX user_privileges_privilege_code_key ON admin.user_privileges USING btree (privilege_code)|t
ap|__drizzle_migrations|__drizzle_migrations_hash_key|CREATE UNIQUE INDEX __drizzle_migrations_hash_key ON ap.__drizzle_migrations USING btree (hash)|t
ap|aging_snapshots|idx_ap_aging_date|CREATE INDEX idx_ap_aging_date ON ap.aging_snapshots USING btree (snapshot_date)|f
